Name,Product,Active,Created Date,Expiry Date,License Type
11251998,Qt Design Studio Enterprise,true,2024-03-25,2024-04-04,Evaluation
11251997,Qt for Device Creation Enterprise,true,2024-03-25,2024-04-04,Evaluation
